Subaccount Name,YTD Return%
JNL_Mellon_Communication_Services_Sector,0.23010000000000003
JNL_Mellon_Nasdaq_100_Index,0.2066
JNL_Mellon_Information_Technology_Sector,0.20440000000000003
JNL_T_Rowe_Price_Established_Growth,0.1894
JNL_Causeway_International_Value_Select,0.1855
JNL_BlackRock_Large_Cap_Select_Growth,0.18030000000000002
JNL_ClearBridge_Large_Cap_Growth,0.1718
JNL_Loomis_Sayles_Global_Growth,0.16620000000000001
JNL_Invesco_Global_Growth,0.14859999999999998
JNL_Mellon_Consumer_Discretionary_Sector,0.1436
JNL_Morningstar_Wide_Moat_Index,0.1417
JNL_American_Funds_Growth,0.1198
JNL_Harris_Oakmark_Global_Equity,0.11800000000000001
JNL_American_Funds_Global_Growth,0.1107
JNL_WCM_Focused_International_Equity,0.1057
JNL_Mellon_International_Index,0.10189999999999999
JNL_Baillie_Gifford_International_Growth,0.0989
JNL_American_Funds_International,0.0944
JNL_Morningstar_US_Sustainability_Index,0.0909
JNL_Mellon_World_Index,0.0898
JNL_DFA_International_Core_Equity,0.0894
JNL_Lazard_International_Strategic_Equity,0.08929999999999999
JNL_DoubleLine_Shiller_Enhanced_CAPE,0.08710000000000001
JNL_William_Blair_International_Leaders,0.0864
JNL_Mellon_S&P_500_Index,0.08560000000000001
JNL_Multi_Manager_International_Small_Cap,0.08349999999999999
JNL_Goldman_Sachs_Managed_Aggressive_Growth,0.0801
JNL_Mellon_US_Stock_Market_Index,0.0794
JNL_JPMorgan_Hedged_Equity,0.0783
JNL_American_Funds_New_World,0.07339999999999999
JNL_Goldman_Sachs_Managed_Growth,0.0728
JNL_American_Funds_Growth_Income,0.0728
JNL_T_Rowe_Price_Capital_Appreciation,0.0726
JNL_T_Rowe_Price_Balanced,0.069
JNL_GQG_Emerging_Markets_Equity,0.06849999999999999
JNL_American_Funds_Growth_Allocation,0.0684
JNL_Aggressive_Growth_Allocation,0.0664
JNL_American_Funds_Global_Small_Capitalization,0.0659
